Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
90.0,4.0,1.0,1.0,1600000,1,0,0,0,0,1,0,0,0,48.86287791,2.3599986
137.0,6.0,4.0,2.0,515000,0,1,1,0,0,0,0,0,0,48.999997129,2.098929195
82.0,5.0,3.0,1.0,335000,0,1,0,0,1,0,0,0,0,48.527215604,2.270985877
113.0,5.0,3.0,1.0,520000,0,1,0,0,0,0,1,0,0,48.880113846,1.979320474
32.0,2.0,1.0,1.0,89700,1,0,0,0,0,0,0,1,0,48.65354393,1.82640777
48.0,1.0,1.0,1.0,130000,1,0,0,0,0,0,1,0,0,48.65354393,1.82640777
30.0,2.0,1.0,1.0,150000,1,0,0,0,0,0,1,0,0,48.65354393,1.82640777
19.0,1.0,1.0,1.0,270000,1,0,0,0,0,0,0,1,0,48.86287791,2.3599986
50.0,2.0,1.0,1.308252427184466,595000,1,0,0,0,0,0,0,1,0,48.86287791,2.3599986
82.0,5.0,3.0,1.0,225000,0,1,0,0,0,0,0,0,1,48.368565322,2.930845994
90.0,5.0,3.0,1.0,395000,0,1,0,0,0,0,0,1,0,48.922750857,2.247051842
33.0,1.0,1.0,1.0,334900,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
25.0,1.0,1.0,1.0,235000,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
70.0,4.0,3.0,1.308252427184466,240000,1,0,0,0,0,0,0,0,1,48.884598329,2.509276261
69.0,3.0,2.0,1.308252427184466,360000,1,0,0,0,0,1,0,0,0,48.896168757,2.207090178
74.0,4.0,3.0,1.0,230000,1,0,0,0,1,0,0,0,0,48.817396568,2.516989292
140.0,5.0,4.0,1.0,445000,0,1,0,0,0,0,0,1,0,49.037845152,1.937251595
28.0,2.0,1.0,1.308252427184466,380000,1,0,0,0,0,0,1,0,0,48.86287791,2.3599986
250.0,6.0,4.0,1.0,349000,0,1,0,0,0,1,0,0,0,48.259908672,2.710851154
32.0,1.0,2.55125284738041,1.0,165000,1,0,0,0,0,0,0,0,1,48.819430023,2.609262864
57.0,3.0,2.0,1.0,234000,1,0,0,0,0,0,1,0,0,48.926569957,2.187259332
190.0,7.0,5.0,1.0,380000,0,1,0,0,0,1,0,0,0,48.898918306,2.877889871
67.0,3.0,2.0,1.308252427184466,635000,1,0,0,0,0,1,0,0,0,48.86287791,2.3599986
150.0,6.0,4.0,1.0,424000,0,1,0,0,0,1,0,0,0,48.958603377,2.96655236
